StudentID,CalendarNo,SemesterNo,RegisteredCHs,AchievedCHs,AchievedCHsCumul,SemesterCumul,SemesterGPA,SemesterStatus,StudentStatusDesc
"0741071001","1","1","0","0","0","0","0","5","599"
"0741071001","10","2","0","0","0","0","0","6","600"
"0741071001","13","2","0","0","0","0","0","6","600"
"0741071001","16","2","0","0","0","0","0","6","600"
"0741071001","28","3","0","0","0","0","0","3","589"
"0741071002","1","1","18","18","18","74.11","74.11","1","597"
"0741071002","2","2","16","16","34","72.44","70.56","1","597"
"0741071002","4","3","16","16","50","73.42","75.5","1","597"
"0741071002","5","4","18","18","68","74.24","76.5","1","597"
"0741071002","7","5","18","18","86","74.22","74.17","1","597"
"0741071002","8","6","15","15","101","74.96","79.2","1","597"
"0741071002","10","7","13","13","114","76.07","84.69","1","597"
"0741071002","11","8","14","14","128","76.21","77.36","1","597"
"0741071003","1","1","18","18","18","87","87","1","597"
"0741071003","2","2","16","16","34","87.26","87.56","1","597"
"0741071003","4","3","15","15","49","86.27","84","1","597"
"0741071003","5","4","18","18","67","86.55","87.33","1","597"
"0741071003","7","5","18","18","85","85.69","82.5","1","597"
"0741071003","8","6","15","15","100","84.78","79.6","1","597"
"0741071003","10","7","13","13","113","84.3","80.62","1","597"
"0741071003","11","8","15","15","128","83.11","74.13","1","597"
"0741071004","1","1","18","11","11","59.61","59.61","1","597"
"0741071004","2","2","16","10","21","62.21","65.12","3","587"
"0741071005","1","1","18","18","18","69.22","69.22","1","597"
"0741071005","2","2","16","16","34","71.74","74.56","1","597"
"0741071005","4","3","15","15","49","73.29","76.8","1","597"
"0741071005","5","4","18","18","67","74.51","77.83","1","597"
"0741071005","7","5","18","15","82","74.72","75.5","1","597"
"0741071005","8","6","12","12","94","75.4","80.25","1","597"
"0741071005","10","7","16","16","110","76.98","80.75","1","597"
"0741071005","11","8","18","18","128","75.64","67.44","1","597"
"0741071006","1","1","18","11","11","67.28","67.28","1","597"
"0741071006","2","2","16","16","27","68.44","69.75","1","597"
"0741071006","4","3","16","12","39","67.24","64.69","1","597"
"0741071006","5","4","18","15","54","66.74","65.33","1","597"
"0741071006","7","5","18","15","69","66.02","63.33","1","597"
"0741071006","8","6","15","12","81","66.64","70.2","1","597"
"0741071006","10","7","16","16","97","68.94","79.69","1","597"
"0741071006","11","8","18","18","115","69.87","72.22","1","597"
"0741071006","13","9","13","13","128","71.71","66","1","597"
"0741071007","1","1","12","2","2","47.42","47.42","3","587"
"0741071008","1","1","18","14","14","68","68","1","597"
"0741071008","2","2","16","14","28","69.24","70.62","1","597"
"0741071008","4","3","16","16","44","71.4","76","1","597"
"0741071008","5","4","18","18","62","71.25","70.83","1","597"
"0741071008","7","5","18","12","74","68.97","60.33","1","597"
"0741071008","8","6","15","12","86","68.97","69","1","597"
"0741071008","10","7","16","16","102","70.25","74.69","1","597"
"0741071008","11","8","17","14","116","70.25","66.88","1","597"
