CourseNo,CourseNameAra,CourseNameEng,CourseCode,CourseCH,TheoreticalCH,PracticalCH,CourseDescAra,CourseDescEng,CourseObjAra,CourseObjEng,WCourseDescAra,WCourseDescEng,WCourseObjAra,WCourseObjEng,DepartmentNo
"1","اللغة الإنجليزية","ENGLISH LANGUAGE","ACD03001","3","3","0","","","","","","","","","6"
"2","مقدمة في الحاسوب","INTRODUCTION TO COMPUTERS","CMP03000","3","1","2","المحتويـــــات : \
وصف لمراحل تطور الحاسوب وتصنيفاته ومجالات استخدامه ـ شرح مكونات الحاسوب الأساسية  (المادية والبرمجية), ووحداته المختلفة ووظائف كل منها ( وحدة الذاكرة, المعالجة المركزية, الإدخال والإخراج) ـ الأنظمة العددية والتحويل من نظام عددي إلى آخر وطرق تمثيل البيانات داخل جهاز الحاسوب ـ دور الخوارزميات في حل مشاكل الحاسوب باستخدام العمليات الحسابية ـ التعرف على البرمجيات المختلفة وإدارة جهاز نظام التشغيل windows  مع برنامج معالجة النصوص word. \
",\N,\N,\N,"المحتويـــــات : \
وصف لمراحل تطور الحاسوب وتصنيفاته ومجالات استخدامه ـ شرح مكونات الحاسوب الأساسية  (المادية والبرمجية), ووحداته المختلفة ووظائف كل منها ( وحدة الذاكرة, المعالجة المركزية, الإدخال والإخراج) ـ الأنظمة العددية والتحويل من نظام عددي إلى آخر وطرق تمثيل البيانات داخل جهاز الحاسوب ـ دور الخوارزميات في حل مشاكل الحاسوب باستخدام العمليات الحسابية ـ التعرف على البرمجيات المختلفة وإدارة جهاز نظام التشغيل windows  مع برنامج معالجة النصوص word.","","","","1"
"3","التنمية في الوطن العربي","DEVELOPMENT IN ARAB WORLD","BUS03002","3","3","0",\N,\N,\N,\N,"","","","","3"
"4","اللغة العربية","ARABIC LANGUAGE","ACD03000","3","3","0",\N,\N,\N,\N,"","","","","6"
"5","مبادئ الإدارة","PRINCIPLES OF MANAGEMENT","BUS13000","3","3","0","يهدف المقرر إلى تعريف الطالب بالمبادئ العلمية والعملية للإدارة. في ويتضمن نظريات ومدارس الإدارة ووظائف الإدارة من التخطيط والتوجيه والتنظيم والرقابة ويتطرق وكذلك وظائف المنظمة وهي التمويل والإدارة المالية والتسويق والشراء والتخزين والأفراد والإنتاج والعلاقات العامة ...الخ .ويتم الربط بين الجانب العلمي والعملي من خلال الحالات الدراسية. ","","","","يهدف المقرر إلى تعريف الطالب بالمبادئ العلمية والعملية للإدارة. في ويتضمن نظريات ومدارس الإدارة ووظائف الإدارة من التخطيط والتوجيه والتنظيم والرقابة ويتطرق وكذلك وظائف المنظمة وهي التمويل والإدارة المالية والتسويق والشراء والتخزين والأفراد والإنتاج والعلاقات العامة ...الخ .ويتم الربط بين الجانب العلمي والعملي من خلال الحالات الدراسية.","","","","3"
"6","المحاسبة","ACCOUNTING","BUS33000","3","3","0",\N,\N,\N,\N,"","","","","3"
"7","رياضيات","MATHEMATICS","ACD03108","3","3","0",\N,\N,\N,\N,"","","","","6"
"8","اللغة الإنجليزية الفنية","TECHNICAL ENGLISH","ACD03003","3","3","0",\N,\N,\N,\N,"","","","","6"
"9","دراسات في الفكر العربي الإسلامي","STUDIES IN ARAB-ISLAMIC THOUGHT","ACD03002","3","3","0","","","","","","","","","6"
"10","الإقتصاد","ECONOMICS","BUS23100","3","3","0",\N,\N,\N,\N,"","","","","3"
"11","طباعة I","TYPING I","BUS02100","2","0","2",\N,\N,\N,\N,"","","","","3"
"12","تطبيقات برمجية","SOFTWARE APPLICATIONS","BUS12107","2","0","2","","","","","","","","","3"
"13","طباعة II","TYPING II","BUS02201","2","0","2",\N,\N,\N,\N,"","","","","3"
"14","أعمال المكاتب والسكرتارية","OFFICE & SECRETARIAL WORK","BUS13202","3","3","0",\N,\N,\N,\N,"","","","","3"
"15","إدارة الأفراد والمؤسسات","PERSONNEL & INSTITUTION MANAGEMENT","BUS13203","3","3","0",\N,\N,\N,\N,"","","","","3"
"16","المراسلات التجارية باللغة العربية","CORRESPONDENCE IN ARABIC","BUS12204","2","2","0",\N,\N,\N,\N,"","","","","3"
"17","الإحصاء","STATISTICS","BUS03005","3","3","0",\N,\N,\N,\N,"","","","","3"
