PlanNo,ProgramNo,RuleNo,PlanCode,PlanNameAra,PlanNameAraAlias,PlanNameEng,CollegeCH,ProgramCH,PlanCH,CHPrice,CurID,AccDate
"1","1","1","612","البرمجيات وقواعد البيانات","البرمجيات وقواعد البيانات","SOFTWARE AND DATABASE MANAGEMENT","15","0","55","10","97003","1999-01-01"
"2","1","1","611","تصميم وتطوير مواقع الانترنت","تصميم وتطوير مواقع الانترنت","WEBSITE DEVELOPER","15","16","44","10","97003","2003-01-01"
"3","2","1","306","الاتصالات السلكية واللاسلكية","الاتصالات السلكية واللاسلكية","WIRE AND WIRELESS COMMUNICATIONS","15","0","61","10","97003","1998-01-01"
"4","2","1","309","الكهروميكانيك","الكهروميكانيك","ELECTRO-MECHANICS","15","0","63","10","97003","1998-01-01"
"5","2","1","307","التحكم الصناعي","التحكم الصناعي","INDUSTRIAL CONTROL","15","0","62","10","97003","2007-01-01"
"6","2","3","901","هندسة أنظمة الحاسوب","هندسة أنظمة الحاسوب","COMPUTER SYSTEMS ENGINEERING","15","0","151","15","97003","2003-01-01"
"7","4","1","514","الإدارة وأتمتة المكاتب","الإدارة وأتمتة المكاتب","OFFICE MANAGEMENT AUTOMATION","15","12","42","10","97003","1997-01-01"
"8","5","1","815","فنون التلفزيون","فنون التلفزيون","TELEVISION MEDIA","15","12","51","10","97003","1996-01-01"
"9","5","1","816","تصميم الأزياء وتصنيع الملابس","تصميم الأزياء وتصنيع الملابس","DESIGN AND DRESS MAKING","15","12","44","10","97003","1996-01-01"
"10","6","2","107","التربية التكنولوجية","التربية التكنولوجية","TECHNOLOGY EDUCATION","15","0","113","13","97003","2003-01-01"
"11","7","1","714","إدارة الطعام و الشراب","إدارة الطعام و الشراب","FOOD & BEVERAGE MANAGEMENT","15","16","35","10","97003","1998-01-01"
"12","7","1","713","إدارة الإيواء","إدارة الإيواء","ACCOMMODATION MANAGEMENT ","15","16","34","10","97003","1998-01-01"
"13","4","1","516","المحاسبة والتأمين","المحاسبة والتأمين","ACCOUNTING AND INSURANCE","15","16","39","10","97003","2007-08-01"
"14","4","1","517","الإعلان والتسويق","الإعلان والتسويق","ANNOUNCING AND MARKETING","15","17","39","10","97003","2007-08-01"
"15","4","2","501","الإدارة الإلكترونية","الإدارة الإلكترونية","E-BUSINESS ","15","30","85","13","97003","2009-08-23"
"16","2","1","310","الصيانة الإلكترونية","الصيانة الإلكترونية","ELECTRONIC MAINTENANCE","15","10","47","10","97003","2010-08-13"
"17","2","1","306","الاتصالات السلكية واللاسلكية 2013-2014","الاتصالات السلكية واللاسلكية","WIRE AND WIRELESS COMMUNICATIONS","15","0","58","10","97003","2011-09-01"
"18","2","1","307","التحكم الصناعي 2013-2014","التحكم الصناعي","INDUSTRIAL CONTROL","15","0","59","10","97003","2011-09-01"
"19","2","1","700","التركيبات الكهربائية","التركيبات الكهربائية","ELECTRICAL INSTALLATIONS ","15","10","50","10","97003","2013-07-20"
"20","2","1","800","مساعد مهندس تبريد وتكييف","مساعد مهندس تبريد وتكييف","HVAC( HEATING VENTILATION & AIR CONDITIONING ) ","15","10","47","10","97003","2013-07-20"
"21","1","1","900","الوسائط المتعددة والتصميم الجرافيكي","الوسائط المتعددة والتصميم الجرافيكي","MULTIMEDIA & GRAPHIC DESIGN","15","7","55","10","97003","2013-07-20"
"22","1","2","100","تكنولوجيا المعلومات والاتصالات","تكنولوجيا المعلومات والاتصالات","INFORMATION & COMMUNICATION TECHNOLOGY ","25","30","85","13","97003","2013-07-20"
"23","4","2","110","المحاسبة والتمويل","المحاسبة والتمويل","ACCOUNTING & FINANCE","27","30","84","13","97003","2013-07-20"
"24","6","2","107","التربية التكنولوجية 2013-2014","التربية التكنولوجية","TECHNOLOGY EDUCATION","27","49","52","13","97003","2013-08-11"
"25","4","2","501","الإدارة الإلكترونية 2013-2014","الإدارة الإلكترونية","E-BUSINESS ","27","22","81","13","97003","2013-08-14"
"26","2","3","901","هندسة أنظمة الحاسوب 2013-2014","هندسة أنظمة الحاسوب","COMPUTER SYSTEMS ENGINEERING","27","0","142","15","97003","2013-08-20"
"27","4","1","514","الإدارة وأتمتة المكاتب 2015","الإدارة وأتمتة المكاتب","OFFICE MANAGEMENT AUTOMATION","15","12","42","10","97003","1997-01-01"
"28","5","1","816","تصميم الأزياء وتصنيع الملابس 2015","تصميم الأزياء وتصنيع الملابس ","DESIGN AND DRESS MAKING","15","7","46","10","97003","1996-01-01"
"29","5","2","814","الإعلام الإذاعي والتلفزيوني","الإعلام الإذاعي والتلفزيوني","MEDIA BROADCASTING","27","35","70","13","97003","2015-07-23"
