PlanNo,RegionID,PlanStatus,MaxStudents,MaxStudentsPerSection
"1","582","2","30","30"
"1","583","1","30","30"
"2","582","2","48","24"
"2","583","1","30","30"
"3","582","2","25","25"
"3","583","1","26","25"
"4","582","2","30","30"
"4","583","2","30","30"
"5","582","1","25","25"
"5","583","1","25","25"
"6","582","1","50","25"
"6","583","1","25","25"
"7","582","1","250","25"
"7","583","1","250","25"
"8","582","1","55","18"
"8","583","1","55","18"
"9","582","1","25","25"
"9","583","1","25","25"
"10","582","1","25","25"
"10","583","1","25","25"
"11","582","1","25","25"
"11","583","1","25","25"
"12","582","1","30","30"
"12","583","1","30","30"
"13","582","1","53","25"
"13","583","1","50","25"
"14","582","1","100","25"
"14","583","1","100","25"
"15","582","1","30","30"
"15","583","1","30","30"
"16","582","1","36","18"
"16","583","1","28","14"
"17","582","1","30","30"
"17","583","1","30","30"
"18","582","1","30","30"
"18","583","1","28","14"
"19","582","1","37","19"
"19","583","1","28","14"
"20","582","1","49","18"
"20","583","1","49","18"
"21","582","1","56","28"
"21","583","1","56","28"
"22","582","2","30","30"
"22","583","2","30","30"
"23","582","1","30","30"
"23","583","1","30","30"
"24","582","1","30","30"
"24","583","1","30","30"
"25","582","1","30","30"
"25","583","1","30","30"
"26","582","1","30","30"
"26","583","1","30","30"
"27","582","1","250","25"
"27","583","1","250","25"
"28","582","1","25","25"
"28","583","1","25","25"
"29","582","1","60","30"
"29","583","1","60","30"
"30","582","1","60","30"
"30","583","1","60","30"
"31","582","1","25","20"
"31","583","1","20","20"
"32","582","1","60","30"
"32","583","1","60","30"
"33","582","1","60","30"
"33","583","1","60","30"
"34","582","1","400","25"
"34","583","1","400","25"
"35","582","1","30","30"
"35","583","1","30","30"
"36","582","1","60","30"
"36","583","1","60","30"
"37","582","1","30","30"
"37","583","1","31","31"
"38","582","1","30","30"
"38","583","1","30","30"
"39","582","1","28","14"
"39","583","1","28","14"
"40","582","1","62","17"
"40","583","1","62","31"
"41","582","1","30","30"
"41","583","1","30","30"
"42","582","1","31","18"
"42","583","1","25","25"
"43","582","1","60","30"
"43","583","1","60","30"
"44","582","1","80","20"
"44","583","1","60","20"
"45","582","1","60","30"
"45","583","1","60","30"
"46","582","1","250","25"
"46","583","1","250","25"
"47","582","1","62","31"
"47","583","1","60","30"
"48","582","1","60","30"
"48","583","1","60","30"
"49","582","1","60","15"
"49","583","1","60","15"
"50","582","1","60","30"
"50","583","1","60","30"
"51","582","1","60","30"
"51","583","1","60","30"
"52","582","1","60","30"
"52","583","1","60","30"
"53","582","1","31","15"
"53","583","1","30","15"
"54","582","2","60","20"
"54","583","2","60","20"
"55","582","1","56","28"
"55","583","1","56","28"
"56","582","1","30","30"
"56","583","1","30","30"
"57","582","1","62","15"
